averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,6	28	tt2009038	tvSeries	Kubala, Moreno i Manchón	Kubala, Moreno i Manchón	0	2012	2014	55	Comedy,Drama
7,5	20	tt2009083	tvSeries	MetaJets	MetaJets	0	2011	\N	\N	Action,Animation,Sci-Fi
8,1	10	tt2010633	tvSeries	Scenes from the Movies	Scenes from the Movies	0	2011	\N	\N	Comedy
7,9	29	tt2011471	tvSeries	Correo de Inocentes	Correo de Inocentes	0	2011	\N	\N	Drama
7,8	163	tt2011519	tvSeries	Hourou Musuko	Hourou Musuko	0	2011	\N	25	Animation,Drama
7,8	167	tt2011723	tvSeries	Nothing Trivial	Nothing Trivial	0	2011	\N	\N	Comedy,Drama
8,5	6	tt2011836	tvSeries	Wartgirl	Wartgirl	0	2011	2011	25	Adventure
7,7	157	tt2011840	tvSeries	World's Craziest Fools	World's Craziest Fools	0	2011	\N	30	Comedy
8,2	249	tt2012155	tvSeries	Brows Held High	Brows Held High	0	2011	\N	\N	Comedy
7,7	212	tt2012381	tvSeries	The One Who Couldn't Love	La que no podía amar	0	2011	2012	45	Drama,Romance
7,4	259	tt2012383	tvSeries	Inside Comedy	Inside Comedy	0	2012	\N	30	Comedy
7,4	33	tt2013075	tvSeries	Temptation of Wife	A-nae-eui yoo-hok	0	2008	2009	\N	Drama
9,0	5	tt2013462	tvSeries	Engraved	Engraved	0	2012	\N	\N	Mystery
8,1	16	tt2013704	tvSeries	How to Fake It in America	How to Fake It in America	0	2010	\N	\N	Comedy
8,6	16	tt2013796	tvSeries	Love Atlanta Style	Love Atlanta Style	0	2011	\N	\N	Drama
8,4	83	tt2013827	tvSeries	Modern War Gear Solid	Modern War Gear Solid	0	2011	\N	\N	Action
8,1	19	tt2013837	tvSeries	North	North	0	2012	\N	122	Comedy
7,9	70	tt2014135	tvSeries	Welshy Reviews	Welshy Reviews	0	2011	\N	\N	Comedy,Horror
8,0	52	tt2014254	tvSeries	Inside	Inside	0	2011	\N	\N	Thriller
7,3	625	tt2014553	tvSeries	Daniel Tiger's Neighborhood	Daniel Tiger's Neighborhood	0	2012	\N	26	Animation,Family
7,2	675	tt2014681	tvSeries	Holliston	Holliston	0	2012	\N	22	Comedy,Horror,Romance
8,1	45	tt2016425	tvSeries	Caribe Road	Caribe Road	0	2011	\N	\N	Action,Drama
